# x, y, z, vx, vy, 0_x, 0_y, 1_x, 1_y
1.315789,-0.789474,0.000000,1.177097,0.551764,0.000000,0.000000,0.000000,0.000000
1.315789,-0.263158,0.000000,1.284416,0.200690,0.000000,0.000000,0.000000,0.000000
1.315789,0.263158,0.000000,1.284416,-0.200690,0.000000,0.000000,0.000000,0.000000
1.315789,0.789474,0.000000,1.177097,-0.551764,0.000000,0.000000,0.000000,0.000000
1.315789,1.315789,0.000000,1.024432,-0.800337,0.000000,0.000000,0.000000,0.000000
1.315789,1.842105,0.000000,0.877200,-0.959437,0.000000,0.000000,0.000000,0.000000
1.315789,2.368421,0.000000,0.753381,-1.059442,3124.223485,-4527.104546,0.000000,0.000000
1.315789,2.894737,0.000000,0.653762,-1.123653,0.000000,0.000000,0.000000,0.000000
1.315789,3.421053,0.000000,0.574189,-1.166322,46971.237465,-138741.044530,0.000000,0.000000
1.315789,3.947368,0.000000,0.510170,-1.195712,0.154793,-44.686741,0.000000,0.000000
1.315789,4.473684,0.000000,0.458029,-1.216639,0.000000,0.000000,0.000000,0.000000
1.315789,5.000000,0.000000,0.414985,-1.231985,0.000000,0.000000,0.000000,0.000000
1.842105,-5.000000,0.000000,0.293291,1.266483,0.000000,0.000000,0.000000,0.000000
1.842105,-4.473684,0.000000,0.325737,1.258529,0.000000,0.000000,0.000000,0.000000
1.842105,-3.947368,0.000000,0.365916,1.247440,0.000000,0.000000,-13.676481,48.967655
1.842105,-3.421053,0.000000,0.416775,1.231381,0.000000,0.000000,0.000000,0.000000
1.842105,-2.894737,0.000000,0.482808,1.207020,0.000000,0.000000,0.000000,0.000000
1.842105,-2.368421,0.000000,0.570973,1.167900,0.000000,0.000000,0.000000,0.000000
1.842105,-1.842105,0.000000,0.691823,1.100628,0.000000,0.000000,0.000000,0.000000
1.842105,-1.315789,0.000000,0.858816,0.975928,0.000000,0.000000,0.000000,0.000000
1.842105,-0.789474,0.000000,1.074096,0.732338,0.000000,0.000000,0.000000,0.000000
1.842105,-0.263158,0.000000,1.267673,0.288107,0.000000,0.000000,0.000000,0.000000
1.842105,0.263158,0.000000,1.267673,-0.288107,0.000000,0.000000,0.000000,0.000000
1.842105,0.789474,0.000000,1.074096,-0.732338,0.000000,0.000000,0.000000,0.000000
1.842105,1.315789,0.000000,0.858816,-0.975928,0.000000,0.000000,0.000000,0.000000
1.842105,1.842105,0.000000,0.691823,-1.100628,0.000000,0.000000,0.000000,0.000000
1.842105,2.368421,0.000000,0.570973,-1.167900,0.000000,0.000000,0.000000,0.000000
1.842105,2.894737,0.000000,0.482808,-1.207020,0.000000,0.000000,0.000000,0.000000
1.842105,3.421053,0.000000,0.416775,-1.231381,0.000000,0.000000,0.000000,0.000000
1.842105,3.947368,0.000000,0.365916,-1.247440,-13.676481,-48.967655,0.000000,0.000000
1.842105,4.473684,0.000000,0.325737,-1.258529,0.000000,0.000000,0.000000,0.000000
